Seaguard RCM SW
Product number:	4430
Serial number:	1705

		System Parameters(0)				Temperature #835(835)	Optode #492(492)			Conductivity #1306(1306)		Doppler Current Sensor #723(723)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Temperature(Deg.C)	O2Concentration(uM)	AirSaturation(%)	Temperature(Deg.C)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Strength X(dB)	Strength Y(dB)
0	04.04.24 12:05:00	7.054	8617984	299994	0.000	12.165	322.326	96.994	12.568	-0.014	12.279	0.000	0.000	0.000	0.000	194.467	41.303	49.738	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
1	04.04.24 12:10:00	7.054	8622080	299993	0.000	11.944	323.694	96.970	12.370	-0.015	12.054	0.000	0.000	0.000	0.000	194.880	41.305	49.715	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
2	04.04.24 12:15:00	7.054	8622080	299994	0.000	11.745	325.342	96.996	12.157	-0.014	11.850	0.000	0.000	0.000	0.000	195.241	41.288	49.716	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
3	04.04.24 12:20:00	7.054	8622080	299994	0.000	11.539	326.914	97.004	11.949	-0.011	11.615	0.000	0.000	0.000	0.000	195.174	41.299	49.714	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
4	04.04.24 12:25:00	7.054	8626176	299994	0.000	11.332	328.625	97.024	11.730	-0.011	11.416	0.000	0.000	0.000	0.000	195.237	41.280	49.713	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
5	04.04.24 12:30:00	7.054	8626176	299994	0.000	11.437	330.143	97.055	11.542	-0.012	11.299	0.000	0.000	0.000	0.000	195.177	41.279	49.697	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
6	04.04.24 12:35:00	7.054	8626176	299994	0.000	11.986	332.654	97.684	11.494	-0.011	11.378	0.000	0.000	0.000	0.000	195.515	41.280	49.692	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
7	04.04.24 12:40:00	7.060	8626176	299994	0.000	11.592	334.661	98.252	11.484	-0.011	11.434	0.000	0.000	0.000	0.000	194.854	41.286	49.695	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
8	04.04.24 12:45:00	7.054	8626176	299994	0.000	11.299	334.150	97.969	11.425	-0.012	11.332	0.000	0.000	0.000	0.000	194.241	41.272	49.693	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
9	04.04.24 12:50:00	7.054	8626176	299994	0.000	11.227	333.898	97.677	11.328	-0.012	11.211	0.000	0.000	0.000	0.000	195.165	41.295	49.727	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
10	04.04.24 12:55:00	7.048	8626176	299993	0.000	11.007	334.403	97.530	11.197	-0.012	11.117	0.000	0.000	0.000	0.000	195.824	41.271	49.739	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
11	04.04.24 13:00:00	7.048	8626176	299994	0.000	10.852	335.423	97.529	11.065	-0.012	10.963	0.000	0.000	0.000	0.000	195.000	41.260	49.729	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
12	04.04.24 13:05:00	7.054	8626176	299994	0.000	10.481	336.328	97.458	10.917	-0.012	10.708	0.000	0.000	0.000	0.000	193.297	41.275	49.702	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
13	04.04.24 13:10:00	7.048	8626176	299994	0.000	10.290	337.455	97.363	10.732	-0.012	10.432	0.000	0.000	0.000	0.000	194.416	41.261	49.726	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
14	04.04.24 13:15:00	7.054	8626176	299994	0.000	10.081	338.905	97.287	10.514	-0.012	10.247	0.000	0.000	0.000	0.000	193.920	41.250	49.705	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
15	04.04.24 13:20:00	7.048	8626176	299994	0.000	9.912	340.526	97.244	10.292	-0.013	10.044	0.000	0.000	0.000	0.000	192.874	41.248	49.721	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
16	04.04.24 13:25:00	7.048	8626176	299994	0.000	9.775	341.970	97.254	10.116	-0.013	9.891	0.000	0.000	0.000	0.000	194.145	41.252	49.736	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
17	04.04.24 13:30:00	7.042	8626176	299994	0.000	9.556	343.619	97.298	9.931	-0.012	9.688	0.000	0.000	0.000	0.000	194.230	41.263	49.709	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
18	04.04.24 13:35:00	7.054	8626176	299994	0.000	9.424	345.079	97.272	9.740	-0.013	9.498	0.000	0.000	0.000	0.000	194.782	41.244	49.702	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
19	04.04.24 13:40:00	7.042	8626176	299994	0.000	9.196	346.770	97.298	9.546	-0.013	9.334	0.000	0.000	0.000	0.000	194.996	41.206	49.687	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
20	04.04.24 13:45:00	7.036	8626176	299994	0.000	9.044	348.266	97.295	9.364	-0.013	9.154	0.000	0.000	0.000	0.000	194.096	41.237	49.694	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
21	04.04.24 13:50:00	7.048	8626176	299994	0.000	8.887	349.579	97.296	9.207	-0.014	8.954	0.000	0.000	0.000	0.000	194.357	41.223	49.697	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
22	04.04.24 13:55:00	7.048	8626176	299994	0.000	8.705	350.946	97.275	9.035	-0.013	8.770	0.000	0.000	0.000	0.000	194.528	41.232	49.701	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
23	04.04.24 14:00:00	7.036	8626176	299994	0.000	8.579	352.518	97.306	8.862	-0.013	8.623	0.000	0.000	0.000	0.000	194.454	41.207	49.686	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
24	04.04.24 14:05:00	7.042	8626176	299994	0.000	8.389	353.729	97.260	8.700	-0.014	8.449	0.000	0.000	0.000	0.000	195.202	41.202	49.700	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
25	04.04.24 14:10:00	7.042	8626176	299994	0.000	2.678	361.135	95.554	7.131	-0.014	6.991	35.915	171.398	-35.511	5.372	127.455	-28.221	-33.200	429.311	-71.524	86	55.344	90.000	35.698	-71.604	-71.444
26	04.04.24 14:15:00	7.042	8626176	299994	0.000	-0.117	377.587	92.276	4.020	-0.011	3.515	444.625	155.143	-403.435	186.900	333.215	-1.408	-12.189	848.495	-71.533	55	83.767	90.000	9.290	-71.568	-71.497
27	04.04.24 14:20:00	7.030	8626176	299994	0.000	-1.199	398.397	91.259	1.611	-0.007	1.047	514.718	233.223	-308.164	-412.274	291.246	46.963	43.824	0.000	-71.778	1	89.869	90.000	1.311	-71.491	-72.065
28	04.04.24 14:25:00	7.024	8626176	299994	0.000	-0.758	417.737	92.386	0.348	-0.004	0.136	233.790	270.382	1.560	-233.785	302.064	59.941	30.909	109.492	-70.919	2	89.768	90.000	1.629	-70.725	-71.112
29	04.04.24 14:30:00	7.012	8626176	299994	0.000	-0.625	424.017	92.896	0.014	-0.003	-0.140	0.000	0.000	0.000	0.000	300.862	57.906	32.830	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000
30	04.04.24 14:35:00	7.012	8626176	299993	0.000	-0.848	427.129	93.153	-0.147	-0.002	-0.412	611.208	70.906	199.940	577.580	300.870	57.738	32.934	0.000	-72.138	1	89.874	90.000	1.257	-72.050	-72.226
31	04.04.24 14:40:00	7.007	8626176	299994	0.000	-1.735	453.369	94.820	-1.601	21.865	-1.274	15.874	290.816	5.641	-14.838	83.640	25.220	-10.025	183.677	-58.950	87	35.259	90.000	35.526	-59.375	-58.526
32	04.04.24 14:45:00	6.994	8626176	299994	0.000	-1.701	449.523	94.076	-1.579	24.976	-1.558	2.661	129.960	-1.709	2.040	293.721	-0.407	-0.390	4.581	-45.175	100	0.567	0.658	0.046	-45.620	-44.729
33	04.04.24 14:50:00	6.988	8626176	299994	0.000	-1.699	451.937	94.465	-1.621	25.529	-1.565	2.008	103.809	-0.479	1.950	271.399	-0.328	-0.428	4.571	-45.075	100	0.541	0.669	0.047	-45.537	-44.613
34	04.04.24 14:55:00	6.994	8626176	299994	0.000	-1.704	451.896	94.455	-1.622	25.987	-1.563	1.227	182.516	-1.226	-0.054	262.383	-0.288	-0.439	4.802	-44.533	100	0.530	0.624	0.049	-44.753	-44.313
35	04.04.24 15:00:00	6.988	8626176	299994	0.000	-1.683	450.720	94.290	-1.593	26.595	-1.586	1.106	142.960	-0.883	0.666	254.752	-0.240	-0.410	3.968	-44.706	100	0.478	0.615	0.045	-45.056	-44.356
36	04.04.24 15:05:00	6.988	8626176	299994	0.000	-1.670	453.230	95.030	-1.515	26.638	-1.612	0.913	41.278	0.686	0.603	249.378	-0.237	-0.380	4.509	-44.783	100	0.451	0.561	0.043	-45.257	-44.309
37	04.04.24 15:10:00	6.976	8626176	299994	0.000	-1.670	454.999	95.463	-1.493	26.653	-1.563	1.027	31.910	0.872	0.543	244.035	-0.202	-0.382	4.231	-43.968	100	0.436	0.536	0.041	-44.262	-43.674
38	04.04.24 15:15:00	6.976	8626176	299994	0.000	-1.664	451.460	94.644	-1.520	26.674	-1.593	2.023	34.301	1.671	1.140	238.247	-0.199	-0.346	4.287	-44.139	100	0.402	0.544	0.045	-44.011	-44.268
39	04.04.24 15:20:00	6.970	8626176	299993	0.000	-1.654	449.446	94.149	-1.547	26.701	-1.593	1.723	23.633	1.578	0.691	234.882	-0.196	-0.328	4.317	-44.108	100	0.387	0.489	0.048	-44.066	-44.151
40	04.04.24 15:25:00	6.970	8626176	299994	0.000	-1.649	450.646	94.327	-1.574	26.726	-1.614	1.707	69.545	0.596	1.599	229.754	-0.153	-0.317	4.473	-44.356	100	0.356	0.487	0.049	-44.442	-44.270
41	04.04.24 15:30:00	6.976	8626176	299994	0.000	-1.652	448.638	93.900	-1.576	26.744	-1.610	2.324	38.551	1.818	1.449	226.348	-0.133	-0.321	4.605	-43.835	100	0.354	0.496	0.060	-43.965	-43.704
42	04.04.24 15:35:00	6.970	8626176	299994	0.000	-1.654	447.969	93.724	-1.589	26.763	-1.614	2.653	46.727	1.819	1.932	223.761	-0.126	-0.318	4.817	-44.153	100	0.347	0.491	0.056	-44.553	-43.754
43	04.04.24 15:40:00	6.959	8626176	299994	0.000	-1.688	447.105	93.431	-1.630	26.752	-1.642	2.428	94.777	-0.202	2.420	221.259	-0.120	-0.288	4.477	-44.152	100	0.318	0.450	0.051	-44.342	-43.963
44	04.04.24 15:45:00	6.959	8626176	299994	0.000	-1.692	446.351	93.216	-1.652	26.757	-1.680	3.373	68.490	1.237	3.138	219.024	-0.092	-0.278	4.429	-44.313	100	0.299	0.471	0.050	-44.691	-43.936
45	04.04.24 15:50:00	6.970	8626176	299994	0.000	-1.692	449.586	93.860	-1.663	26.767	-1.650	2.610	76.891	0.592	2.542	216.325	-0.100	-0.272	4.087	-44.107	100	0.296	0.473	0.060	-44.604	-43.610
46	04.04.24 15:55:00	6.965	8626176	299994	0.000	-1.691	447.451	93.423	-1.660	26.780	-1.686	1.867	63.935	0.821	1.677	213.068	-0.095	-0.238	4.674	-43.943	100	0.263	0.403	0.051	-43.853	-44.033
47	04.04.24 16:00:00	6.970	8626176	299994	0.000	-1.693	446.478	93.197	-1.668	26.792	-1.703	2.467	53.263	1.476	1.977	215.171	-0.134	-0.247	4.410	-44.457	100	0.287	0.367	0.048	-44.593	-44.320
48	04.04.24 16:05:00	6.965	8626176	299994	0.000	-1.691	446.877	93.268	-1.673	26.805	-1.688	2.350	107.555	-0.709	2.241	213.338	-0.144	-0.266	4.375	-44.338	100	0.307	0.445	0.050	-44.638	-44.038
49	04.04.24 16:10:00	6.959	8626176	299994	0.000	-1.692	446.577	93.196	-1.676	26.818	-1.672	1.860	122.311	-0.994	1.572	209.823	-0.114	-0.227	4.088	-44.328	100	0.262	0.387	0.046	-45.092	-43.563
50	04.04.24 16:15:00	6.953	8626176	299993	0.000	-1.684	445.590	92.997	-1.673	26.841	-1.612	3.978	104.106	-0.970	3.858	208.939	-0.131	-0.207	4.416	-43.993	100	0.251	0.370	0.045	-44.009	-43.977
51	04.04.24 16:20:00	6.959	8626176	299994	0.000	-1.684	446.785	93.257	-1.670	26.861	-1.654	1.467	129.714	-0.937	1.128	205.931	-0.158	-0.187	5.111	-44.071	100	0.253	0.346	0.043	-44.031	-44.110
52	04.04.24 16:25:00	6.970	8626176	299994	0.000	-1.685	450.794	94.101	-1.667	26.871	-1.656	1.020	32.164	0.864	0.543	198.371	-0.154	-0.155	4.519	-43.909	100	0.228	0.330	0.041	-43.670	-44.148
53	04.04.24 16:30:00	6.959	8626176	299994	0.000	-1.681	452.085	94.362	-1.670	26.882	-1.688	3.637	15.357	3.507	0.963	187.463	-0.176	-0.193	4.565	-44.453	100	0.267	0.355	0.041	-44.653	-44.252
54	04.04.24 16:35:00	6.959	8626176	299994	0.000	-1.696	456.455	95.238	-1.683	26.879	-1.686	3.589	48.052	2.399	2.669	189.232	-0.206	-0.211	4.698	-44.567	100	0.301	0.397	0.044	-45.188	-43.947
55	04.04.24 16:40:00	6.959	8626176	299994	0.000	-1.693	449.095	93.697	-1.685	26.901	-1.657	2.628	59.346	1.340	2.261	191.311	-0.217	-0.204	4.182	-44.282	100	0.304	0.394	0.047	-44.797	-43.767
56	04.04.24 16:45:00	6.965	8626176	299993	0.000	-1.688	448.677	93.618	-1.682	26.922	-1.689	4.069	46.826	2.784	2.968	189.784	-0.195	-0.219	4.527	-44.524	100	0.301	0.401	0.047	-44.528	-44.521
57	04.04.24 16:50:00	6.965	8626176	299994	0.000	-1.704	448.929	93.638	-1.694	26.918	-1.699	4.319	24.868	3.918	1.816	187.995	-0.167	-0.181	4.066	-44.180	100	0.254	0.349	0.032	-44.667	-43.693
58	04.04.24 16:55:00	6.970	8626176	299994	0.000	-1.699	448.183	93.483	-1.694	26.940	-1.718	3.323	27.946	2.935	1.557	189.301	-0.131	-0.107	4.334	-44.241	100	0.181	0.317	0.053	-44.515	-43.968
59	04.04.24 17:00:00	6.965	8626176	299994	0.000	-1.711	448.639	93.550	-1.704	26.950	-1.737	4.394	56.243	2.442	3.654	189.925	-0.141	-0.142	4.063	-44.467	100	0.212	0.302	0.045	-44.715	-44.218
60	04.04.24 17:05:00	6.965	8626176	299994	0.000	-1.712	448.282	93.467	-1.707	26.971	-1.737	4.055	55.645	2.288	3.347	188.130	-0.161	-0.149	4.170	-44.310	100	0.231	0.348	0.053	-44.276	-44.343
61	04.04.24 17:10:00	6.965	8626176	299994	0.000	-1.710	447.691	93.345	-1.707	26.992	-1.676	5.130	48.222	3.418	3.825	186.317	-0.174	-0.165	4.585	-44.367	100	0.247	0.406	0.051	-44.688	-44.046
62	04.04.24 17:15:00	6.959	8626176	299994	0.000	-1.716	448.771	93.557	-1.712	27.002	-1.727	5.460	49.831	3.522	4.172	183.732	-0.180	-0.191	4.285	-44.409	100	0.271	0.385	0.047	-44.672	-44.147
63	04.04.24 17:20:00	6.959	8626176	299994	0.000	-1.712	446.579	93.108	-1.709	27.030	-1.731	5.952	59.031	3.063	5.103	184.598	-0.178	-0.185	4.104	-44.240	100	0.262	0.381	0.046	-44.388	-44.092
64	04.04.24 17:25:00	6.965	8626176	299994	0.000	-1.722	445.687	92.896	-1.718	27.044	-1.737	5.892	53.057	3.541	4.709	184.627	-0.175	-0.171	4.192	-44.259	100	0.253	0.372	0.042	-44.489	-44.030
65	04.04.24 17:30:00	6.965	8626176	299994	0.000	-1.726	448.140	93.403	-1.720	27.061	-1.729	4.806	57.245	2.600	4.042	180.487	-0.173	-0.149	4.247	-44.900	100	0.237	0.359	0.043	-44.944	-44.856
66	04.04.24 17:35:00	6.953	8626176	299994	0.000	-1.723	446.938	93.157	-1.718	27.080	-1.697	5.320	67.024	2.077	4.898	180.532	-0.178	-0.162	4.754	-44.485	100	0.251	0.358	0.051	-44.976	-43.994
67	04.04.24 17:40:00	6.965	8626176	299994	0.000	-1.723	446.833	93.135	-1.718	27.098	-1.752	6.631	58.072	3.507	5.628	178.999	-0.173	-0.160	3.828	-44.227	100	0.248	0.377	0.066	-44.583	-43.871
68	04.04.24 17:45:00	6.959	8626176	299994	0.000	-1.724	446.503	93.061	-1.720	27.116	-1.721	7.492	61.091	3.622	6.558	178.452	-0.184	-0.127	4.543	-44.165	100	0.238	0.377	0.055	-44.717	-43.612
69	04.04.24 17:50:00	6.959	8626176	299994	0.000	-1.723	447.099	93.186	-1.720	27.137	-1.731	6.945	41.152	5.229	4.570	175.956	-0.186	-0.112	3.910	-44.188	100	0.231	0.334	0.048	-44.737	-43.638
70	04.04.24 17:55:00	6.959	8626176	299994	0.000	-1.720	446.312	93.030	-1.717	27.157	-1.757	5.706	50.822	3.605	4.424	177.162	-0.220	-0.128	4.346	-44.118	100	0.264	0.404	0.057	-44.100	-44.135
71	04.04.24 18:00:00	6.959	8626176	299994	0.000	-1.727	446.154	92.982	-1.722	27.167	-1.767	6.034	41.871	4.493	4.028	174.373	-0.223	-0.090	4.247	-44.386	100	0.251	0.387	0.056	-45.176	-43.597
72	04.04.24 18:05:00	6.965	8626176	299993	0.000	-1.727	446.133	92.973	-1.724	27.179	-1.735	6.616	53.377	3.947	5.310	175.474	-0.195	-0.027	4.913	-44.485	100	0.206	0.363	0.069	-44.994	-43.976
73	04.04.24 18:10:00	6.953	8626176	299994	0.000	-1.727	446.313	93.010	-1.724	27.194	-1.723	6.847	47.445	4.631	5.044	171.872	-0.190	-0.033	4.352	-44.309	100	0.207	0.378	0.064	-45.079	-43.539
74	04.04.24 18:15:00	6.965	8626176	299994	0.000	-1.726	446.184	92.986	-1.723	27.208	-1.727	4.459	26.747	3.982	2.007	166.396	-0.251	-0.027	4.523	-44.444	100	0.265	0.465	0.077	-44.825	-44.062
75	04.04.24 18:20:00	6.970	8626176	299994	0.000	-1.740	448.353	93.412	-1.733	27.206	-1.706	6.809	34.415	5.618	3.849	164.574	-0.201	0.020	4.500	-44.525	100	0.212	0.416	0.070	-44.794	-44.256
76	04.04.24 18:25:00	6.959	8626176	299994	0.000	-1.736	446.669	93.060	-1.733	27.220	-1.718	8.522	48.051	5.697	6.338	165.424	-0.170	-0.001	4.413	-44.984	100	0.195	0.376	0.074	-45.119	-44.848
77	04.04.24 18:30:00	6.965	8626176	299993	0.000	-1.738	446.200	92.958	-1.735	27.232	-1.721	7.312	47.389	4.950	5.381	163.797	-0.191	-0.012	4.293	-44.538	100	0.205	0.412	0.079	-44.974	-44.102
78	04.04.24 18:35:00	6.965	8626176	299994	0.000	-1.738	445.853	92.885	-1.735	27.241	-1.757	6.699	49.807	4.323	5.117	165.712	-0.237	-0.039	4.795	-44.684	100	0.251	0.448	0.079	-44.831	-44.537
79	04.04.24 18:40:00	6.959	8626176	299994	0.000	-1.736	445.672	92.853	-1.733	27.253	-1.748	7.941	57.292	4.291	6.682	164.727	-0.230	-0.034	4.168	-44.112	100	0.244	0.429	0.079	-44.588	-43.636
80	04.04.24 18:45:00	6.959	8626176	299994	0.000	-1.738	445.553	92.826	-1.734	27.262	-1.752	6.960	59.533	3.529	5.999	167.550	-0.183	-0.050	5.226	-44.761	100	0.206	0.388	0.073	-45.042	-44.481
81	04.04.24 18:50:00	6.959	8626176	299993	0.000	-1.739	445.371	92.785	-1.735	27.268	-1.718	7.092	58.374	3.719	6.039	166.503	-0.185	-0.040	4.302	-44.835	100	0.202	0.367	0.075	-45.359	-44.312
82	04.04.24 18:55:00	6.965	8626176	299994	0.000	-1.737	445.374	92.789	-1.734	27.275	-1.735	5.687	58.321	2.986	4.839	165.383	-0.163	0.010	4.758	-44.614	100	0.182	0.408	0.080	-45.063	-44.165
83	04.04.24 19:00:00	6.959	8626176	299994	0.000	-1.743	445.308	92.762	-1.738	27.286	-1.725	8.543	69.093	3.049	7.981	166.953	-0.079	0.071	4.825	-44.574	100	0.211	0.495	0.111	-45.036	-44.112
84	04.04.24 19:05:00	6.959	8626176	299994	0.000	-1.740	445.038	92.711	-1.737	27.289	-1.772	8.094	51.096	5.083	6.299	166.686	-0.075	0.095	5.135	-44.904	100	0.176	0.388	0.102	-45.293	-44.516
85	04.04.24 19:10:00	6.965	8626176	299994	0.000	-1.742	444.834	92.664	-1.738	27.285	-1.725	7.750	53.714	4.586	6.247	163.958	-0.109	0.065	4.169	-45.393	100	0.163	0.465	0.091	-45.416	-45.371
86	04.04.24 19:15:00	6.965	8626176	299994	0.000	-1.742	444.837	92.666	-1.738	27.286	-1.691	9.180	58.225	4.834	7.804	164.776	-0.101	0.098	4.369	-44.586	100	0.185	0.457	0.096	-44.861	-44.310
87	04.04.24 19:20:00	6.965	8626176	299994	0.000	-1.740	445.107	92.723	-1.738	27.288	-1.753	8.595	59.869	4.315	7.434	163.195	-0.095	0.084	4.193	-44.792	100	0.162	0.368	0.088	-45.078	-44.505
88	04.04.24 19:25:00	6.965	8626176	299994	0.000	-1.742	444.989	92.696	-1.738	27.288	-1.782	6.760	56.078	3.773	5.610	158.423	-0.077	0.066	4.306	-44.679	100	0.164	0.366	0.082	-45.236	-44.122
89	04.04.24 19:30:00	6.970	8626176	299994	0.000	-1.743	444.916	92.681	-1.738	27.286	-1.757	7.413	53.805	4.377	5.982	158.614	-0.049	0.132	4.288	-44.648	100	0.175	0.411	0.080	-45.000	-44.296
90	04.04.24 19:35:00	6.959	8626176	299994	0.000	-1.742	444.882	92.672	-1.739	27.286	-1.791	7.595	38.239	5.965	4.701	152.738	-0.074	0.131	3.952	-44.637	100	0.190	0.355	0.082	-45.348	-43.926
91	04.04.24 19:40:00	6.959	8626176	299993	0.000	-1.740	444.929	92.688	-1.737	27.289	-1.720	8.162	58.807	4.227	6.982	154.637	-0.037	0.154	4.259	-44.101	100	0.204	0.391	0.085	-44.866	-43.335
92	04.04.24 19:45:00	6.965	8626176	299994	0.000	-1.740	445.056	92.715	-1.736	27.289	-1.755	6.590	58.347	3.458	5.609	154.109	-0.047	0.144	5.120	-44.846	100	0.204	0.364	0.067	-45.183	-44.510
93	04.04.24 19:50:00	6.959	8630272	299994	0.000	-1.739	444.782	92.659	-1.736	27.290	-1.748	6.161	66.330	2.474	5.643	150.232	-0.029	0.097	4.034	-44.193	100	0.162	0.309	0.065	-44.580	-43.805
94	04.04.24 19:55:00	6.959	8634368	299994	0.000	-1.737	444.766	92.660	-1.734	27.292	-1.753	7.375	55.490	4.178	6.077	140.712	-0.100	0.079	4.342	-44.492	100	0.157	0.444	0.082	-44.626	-44.358
95	04.04.24 20:00:00	6.970	8634368	299994	0.000	-1.740	444.785	92.660	-1.736	27.289	-1.744	4.561	69.953	1.564	4.285	134.964	-0.121	0.110	4.454	-43.931	100	0.201	0.452	0.110	-43.916	-43.946
96	04.04.24 20:05:00	6.953	8634368	299994	0.000	-1.737	444.628	92.634	-1.733	27.293	-1.784	6.371	60.319	3.155	5.535	168.038	-0.017	-0.110	4.647	-44.509	100	0.141	0.283	0.060	-45.038	-43.979
97	04.04.24 20:10:00	6.965	8634368	299994	0.000	-1.732	444.614	92.640	-1.730	27.297	-1.786	5.416	54.571	3.140	4.413	170.301	-0.044	-0.109	4.554	-44.489	100	0.151	0.278	0.061	-44.845	-44.132
98	04.04.24 20:15:00	6.965	8634368	299994	0.000	-1.738	444.658	92.640	-1.734	27.295	-1.720	5.049	77.184	1.120	4.923	177.133	-0.024	-0.207	4.894	-44.326	100	0.221	0.372	0.064	-44.790	-43.863
99	04.04.24 20:20:00	6.965	8634368	299994	0.000	-1.735	445.260	92.766	-1.733	27.298	-1.708	4.718	76.033	1.139	4.578	176.502	0.019	-0.187	4.692	-43.940	100	0.202	0.377	0.071	-44.345	-43.534
100	04.04.24 20:25:00	6.965	8634368	299993	0.000	-1.745	445.298	92.754	-1.741	27.289	-1.778	5.598	49.014	3.672	4.226	173.415	0.008	-0.161	4.361	-44.797	100	0.173	0.316	0.061	-45.481	-44.113
101	04.04.24 20:30:00	6.953	8634368	299994	0.000	-1.741	445.993	92.905	-1.738	27.290	-1.735	5.916	66.932	2.318	5.443	174.284	0.030	-0.175	4.863	-44.211	100	0.188	0.336	0.063	-44.855	-43.566
102	04.04.24 20:35:00	6.959	8634368	299994	0.000	-1.743	445.743	92.852	-1.739	27.290	-1.765	5.824	65.826	2.385	5.313	174.500	0.015	-0.132	4.651	-44.436	100	0.153	0.278	0.049	-44.868	-44.004
103	04.04.24 20:40:00	6.970	8634368	299994	0.000	-1.735	445.498	92.816	-1.733	27.297	-1.791	4.051	62.574	1.866	3.595	174.934	0.051	-0.097	4.410	-44.326	100	0.131	0.299	0.064	-44.598	-44.055
104	04.04.24 20:45:00	6.970	8634368	299993	0.000	-1.743	445.251	92.752	-1.738	27.290	-1.742	6.221	70.297	2.097	5.857	176.298	0.246	-0.141	4.737	-44.150	100	0.288	0.461	0.075	-44.346	-43.954
105	04.04.24 20:50:00	6.970	8634368	299994	0.000	-1.745	445.051	92.703	-1.740	27.290	-1.759	6.154	55.565	3.480	5.076	174.767	0.134	-0.066	4.359	-44.428	100	0.160	0.340	0.067	-44.733	-44.123
106	04.04.24 20:55:00	6.970	8634368	299994	0.000	-1.745	445.377	92.769	-1.741	27.288	-1.776	6.063	50.462	3.860	4.676	175.972	0.048	0.116	4.330	-45.014	100	0.147	0.287	0.054	-45.783	-44.245
107	04.04.24 21:00:00	6.965	8634368	299994	0.000	-1.745	445.750	92.846	-1.741	27.289	-1.744	6.471	47.496	4.372	4.770	169.481	0.071	0.049	4.440	-44.838	100	0.117	0.232	0.051	-45.247	-44.430
108	04.04.24 21:05:00	6.970	8634368	299994	0.000	-1.746	446.111	92.920	-1.742	27.289	-1.752	6.899	61.052	3.339	6.037	170.454	0.158	-0.014	4.186	-44.809	100	0.171	0.312	0.070	-44.989	-44.629
109	04.04.24 21:10:00	6.970	8634368	299994	0.000	-1.746	445.583	92.809	-1.742	27.289	-1.729	6.781	68.152	2.524	6.294	173.107	0.177	0.034	4.433	-44.717	100	0.195	0.371	0.074	-45.028	-44.406
110	04.04.24 21:15:00	6.970	8634368	299993	0.000	-1.747	445.669	92.827	-1.742	27.288	-1.763	8.183	70.184	2.774	7.698	175.431	0.022	0.046	4.206	-44.581	100	0.094	0.231	0.050	-44.722	-44.440
111	04.04.24 21:20:00	6.970	8634368	299993	0.000	-1.746	444.978	92.684	-1.742	27.289	-1.727	6.364	61.504	3.036	5.593	171.441	0.018	0.078	4.122	-45.094	100	0.127	0.302	0.062	-45.387	-44.800
112	04.04.24 21:25:00	6.970	8634368	299994	0.000	-1.742	444.747	92.642	-1.740	27.290	-1.770	7.377	54.781	4.254	6.027	172.582	0.005	0.069	4.640	-45.528	100	0.121	0.261	0.061	-45.977	-45.080
113	04.04.24 21:30:00	6.970	8634368	299994	0.000	-1.745	444.766	92.642	-1.741	27.289	-1.776	5.983	55.712	3.370	4.943	170.987	0.033	0.042	4.364	-45.336	100	0.155	0.358	0.088	-45.599	-45.074
114	04.04.24 21:35:00	6.965	8634368	299994	0.000	-1.742	444.688	92.634	-1.738	27.291	-1.729	7.384	60.456	3.641	6.424	171.436	0.039	0.067	4.126	-44.912	100	0.150	0.359	0.072	-45.121	-44.703
